EmployeeId,Department,Salary,MangerId
100,Sales,86970,107
101,HumanResouce,57333,103
102,Finance,73708,100
103,Finance,90035,101
104,Marketing,68979,107
105,Sales,99266,103
106,Marketing,79780,104
107,Finance,62499,106
108,Finance,92745,107
109,Marketing,91253,106
110,Marketing,70140,100
111,HumanResouce,93286,105
112,HumanResouce,64570,106
113,Finance,55848,100
114,HumanResouce,50609,105
115,Engineering,98705,106
116,Sales,92497,107
117,Sales,62367,108
118,Finance,62330,105
119,Engineering,63963,105
120,Engineering,94690,103
121,Engineering,66939,102
122,HumanResouce,72658,108
123,Marketing,68890,102
124,Finance,98239,100
125,Engineering,86314,109
126,Marketing,66307,108
127,Engineering,98762,103
128,Engineering,92779,102
129,Engineering,61258,109
130,Engineering,67515,100
131,Finance,67008,108
132,Marketing,62089,109
133,Marketing,98327,103
134,Sales,50199,100
135,Engineering,87441,108
136,HumanResouce,65041,104
137,HumanResouce,96175,109
138,Finance,62878,106
139,HumanResouce,66743,104
140,HumanResouce,56795,103
141,Engineering,90951,109
142,Finance,81775,106
143,HumanResouce,81582,103
144,HumanResouce,71535,100
145,HumanResouce,54648,104
146,Sales,87972,100
147,Engineering,87913,101
148,Engineering,75201,101
149,Sales,64204,106
150,Engineering,63786,102
151,Engineering,67556,104
152,Finance,59429,107
153,Engineering,63825,106
154,Marketing,81088,107
155,Sales,68399,108
156,HumanResouce,58635,100
157,Marketing,51806,108
158,Marketing,76340,109
159,HumanResouce,77204,104
160,Finance,75995,101
161,Sales,94272,102
162,Finance,77731,100
163,HumanResouce,97180,101
164,Marketing,68699,106
165,Engineering,60921,106
166,Marketing,68996,101
167,Sales,55987,106
168,HumanResouce,72719,104
169,Sales,60291,100
170,HumanResouce,91591,103
171,Engineering,73239,109
172,HumanResouce,87984,102
173,Finance,66181,109
174,Finance,90411,106
175,Finance,50336,106
176,Engineering,99375,100
177,Sales,93733,108
178,Sales,64055,104
179,HumanResouce,81049,100
180,Marketing,61315,106
181,Engineering,73509,108
182,Finance,93280,106
183,Engineering,62974,102
184,HumanResouce,90518,103
185,Marketing,59696,104
186,Sales,84141,101
187,Marketing,50944,103
188,Engineering,83302,109
189,Sales,68868,105
190,Marketing,85954,103
191,Engineering,68431,109
192,HumanResouce,70864,106
193,Engineering,73622,107
194,HumanResouce,91356,109
195,HumanResouce,63827,102
196,Finance,58739,108
197,Marketing,72232,101
198,Engineering,71273,105
199,Finance,81692,101
