EmployeeId,Department,Salary,MangerId
172,Sales,95532,105
173,Marketing,79562,102
174,Finance,76503,108
175,HumanResouce,91270,100
176,Finance,60870,109
177,Finance,71736,100
178,Engineering,69649,103
179,HumanResouce,75354,104
180,Engineering,81034,103
181,Sales,91413,106
182,HumanResouce,58556,106
183,Sales,99323,102
184,Marketing,85311,105
185,Marketing,69667,101
186,Sales,54469,106
187,Sales,53751,101
188,Finance,54593,101
189,HumanResouce,77853,105
190,Engineering,98061,100
191,Engineering,68431,109
192,Sales,64361,108
193,Marketing,96694,107
194,HumanResouce,76302,101
195,Engineering,93761,102
196,Finance,51614,104
197,Sales,67358,102
198,Engineering,89724,102
199,Marketing,55368,103
200,Finance,88811,104
201,Engineering,64991,103
202,Engineering,61110,100
203,Engineering,63952,102
204,HumanResouce,80698,108
205,Engineering,88808,105
206,Marketing,66546,100
207,Engineering,55825,100
208,Marketing,55847,106
209,Engineering,84824,102
210,Marketing,66716,109
211,HumanResouce,88335,106
212,HumanResouce,63665,101
213,Sales,58156,101
214,Engineering,65934,101
215,Engineering,70841,109
216,Finance,84259,106
217,Finance,64414,102
218,Marketing,74296,107
219,Finance,54944,103
220,Engineering,51043,109
